Away,Home,Day
23,2,1
21,10,1
17,4,2
3,9,2
15,12,2
16,22,2
1,20,2
6,28,2
19,11,2
18,27,2
29,26,2
8,13,2
7,24,2
5,23,3
16,30,3
14,25,3
4,22,4
20,3,4
1,15,4
6,18,4
26,19,4
2,28,4
12,17,4
21,13,4
10,29,4
3,12,5
28,30,5
2,20,5
22,23,5
9,5,5
4,16,5
18,7,5
24,8,5
27,25,5
11,14,5
1,6,6
26,21,6
10,8,6
11,13,6
22,2,7
4,28,7
20,17,7
12,18,7
5,7,7
15,29,7
30,25,7
24,10,7
27,14,7
23,9,8
13,19,8
26,8,8
7,1,9
3,6,9
20,16,9
18,28,9
4,5,9
29,11,9
12,27,9
23,17,9
14,24,9
15,26,9
30,10,9
6,9,10
25,22,10
2,21,10
8,14,10
5,4,11
10,20,11
7,28,11
13,11,11
17,18,11
3,19,11
30,26,11
2,9,12
29,19,12
5,1,12
12,6,12
4,23,12
24,15,12
25,16,12
22,17,12
14,27,12
10,3,13
29,7,13
24,21,13
30,13,13
25,12,14
1,23,14
26,16,14
3,20,14
10,5,14
28,17,14
14,18,14
7,27,14
19,8,14
16,4,15
1,6,15
26,22,15
9,2,15
23,28,15
25,11,15
30,15,15
13,21,15
9,3,16
8,5,16
29,18,16
12,20,16
19,10,16
7,14,16
27,24,16
21,4,17
8,6,17
13,23,17
26,1,17
17,2,17
19,25,17
13,22,18
11,3,18
12,5,18
21,30,18
20,7,18
15,29,18
28,24,18
18,10,18
9,23,19
6,4,19
2,12,19
16,1,19
11,5,19
19,27,19
29,8,19
14,25,19
26,17,20
23,3,20
20,30,20
22,27,20
15,24,20
18,25,20
28,14,20
16,9,21
11,12,21
6,22,21
5,20,21
19,21,21
2,8,21
28,29,21
15,10,21
18,13,21
1,4,22
30,7,22
3,24,22
17,25,22
21,6,23
9,22,23
20,1,23
27,16,23
23,12,23
8,15,23
5,19,23
7,29,23
28,26,23
18,14,23
11,21,24
2,24,24
13,25,24
17,10,24
30,22,25
4,23,25
9,1,25
12,16,25
3,8,25
2,29,25
18,26,25
20,28,26
17,13,26
24,19,26
6,5,26
23,15,26
30,16,26
3,10,26
11,27,26
21,7,26
14,26,26
4,9,27
12,11,27
22,20,27
17,8,27
2,25,27
1,14,27
22,30,28
23,16,28
19,28,28
7,5,28
29,15,28
3,18,28
24,21,28
27,26,28
10,13,28
4,6,29
11,8,29
1,10,29
23,22,30
6,30,30
5,2,30
16,3,30
9,28,30
15,17,30
19,18,30
20,21,30
29,7,30
27,24,30
25,14,30
10,11,31
1,8,31
27,13,31
28,2,32
16,12,32
29,23,32
3,30,32
26,15,32
25,18,32
20,19,32
5,17,32
13,3,33
23,4,33
1,12,33
8,19,33
14,22,33
29,2,33
28,5,33
26,11,33
10,7,33
21,24,33
15,18,34
14,16,34
20,22,34
25,30,34
10,27,34
2,4,35
6,9,35
29,12,35
24,23,35
13,1,35
7,15,35
8,17,35
27,19,35
21,26,35
28,22,36
13,30,36
3,16,36
25,20,36
12,4,37
19,23,37
28,1,37
20,2,37
24,5,37
14,6,37
9,11,37
25,17,37
8,18,37
3,7,37
15,27,37
26,29,37
21,10,37
18,3,38
